Team,Event_Id,Time,Type
Cleveland Indians,9708141,13748,
Cleveland Indians,9708152,13936,
Cleveland Indians,9708166,14201,
Cleveland Indians,9708177,14202,
Cleveland Indians,9708180,13631,
Cleveland Indians,9708188,13419,
Cleveland Indians,9708191,13070,
Cleveland Indians,9708186,16155,
Cleveland Indians,9708197,11814,
Cleveland Indians,9708216,13781,
Cleveland Indians,9708172,14814,
Cleveland Indians,9708139,14286,
Cleveland Indians,9708142,12503,
Cleveland Indians,9708153,13598,
Cleveland Indians,9708136,13075,
Cleveland Indians,9708158,10980,
Cleveland Indians,9708162,12666,
Cleveland Indians,9708173,12369,
Cleveland Indians,9708184,13067,
Cleveland Indians,9708214,14193,
Cleveland Indians,9708148,13306,
Cleveland Indians,9708151,12844,
Cleveland Indians,9708236,13105,
Cleveland Indians,9708137,12601,
Cleveland Indians,9708140,15770,
Cleveland Indians,9708159,13038,
Cleveland Indians,9708161,12528,
Cleveland Indians,9708169,11914,
Cleveland Indians,9708183,14165,
Cleveland Indians,9708194,12348,
Cleveland Indians,9708147,11398,
Cleveland Indians,9708150,12090,
Cleveland Indians,9708224,12952,
Cleveland Indians,9708167,15640,
Cleveland Indians,9708170,13565,
Cleveland Indians,9708178,12917,
Cleveland Indians,9708181,14352,
Cleveland Indians,9708189,11009,
Kansas City Royals,9708279,15730,
Kansas City Royals,9708312,12415,
Cleveland Indians,9708192,12609,
Cleveland Indians,9708200,11107,
Kansas City Royals,9708308,16872,
Cleveland Indians,9708222,12532,
Kansas City Royals,9708309,13973,
Cleveland Indians,9708145,14997,
Kansas City Royals,9708255,14471,
Cleveland Indians,9708156,15134,
Kansas City Royals,9708262,16112,
Cleveland Indians,9708134,13464,
Kansas City Royals,9708273,16134,
Cleveland Indians,9708160,19623,
Kansas City Royals,9708284,15763,
Cleveland Indians,9708168,12142,
Kansas City Royals,9708295,15817,
Cleveland Indians,9708171,13081,
Kansas City Royals,9708303,15323,
Cleveland Indians,9708179,12423,
Cleveland Indians,9708182,13590,
Kansas City Royals,9708314,14172,
Cleveland Indians,9708209,13116,
Kansas City Royals,9708325,14273,
Cleveland Indians,9708212,14153,
Kansas City Royals,9708288,14108,
Cleveland Indians,9708176,15530,
Kansas City Royals,9708299,15157,
Cleveland Indians,9708187,13740,
Kansas City Royals,9708307,16099,
Cleveland Indians,9708190,12990,
Kansas City Royals,9708321,18487,
Cleveland Indians,9708198,11016,
Kansas City Royals,9708274,14723,
Cleveland Indians,9708220,13219,
Cleveland Indians,9708231,12967,
Kansas City Royals,9708285,14785,
Cleveland Indians,9708163,14680,
Kansas City Royals,9708304,14771,
Kansas City Royals,9708326,13247,
Cleveland Indians,9708174,14996,
Cleveland Indians,9708185,12064,
Kansas City Royals,9708257,15283,
Cleveland Indians,9708196,13535,
Kansas City Royals,9708260,16578,
Cleveland Indians,9708149,13127,
Kansas City Royals,9708271,13555,
Cleveland Indians,9708226,12347,
Kansas City Royals,9708282,13452,
Cleveland Indians,9708143,15878,
Kansas City Royals,9708293,14660,
Cleveland Indians,9708164,14376,
Kansas City Royals,9708301,14062,
Cleveland Indians,9708175,15877,
Kansas City Royals,9708323,15193,
Cleveland Indians,9708199,12643,
Kansas City Royals,9708258,12988,
Cleveland Indians,9708207,15935,
Kansas City Royals,9708261,13364,
Cleveland Indians,9708229,14863,
Kansas City Royals,9708269,13849,
Kansas City Royals,9708272,14105,
Cleveland Indians,9708144,17422,
Kansas City Royals,9708283,13434,
Cleveland Indians,9708227,13112,
Cleveland Indians,9708155,12028,
Kansas City Royals,9708294,13230,
Cleveland Indians,9708202,12534,
