Time,Elapsed,Events_Updated,Type,Length,,,,,,
03-22-2017_01:00:65,7.79,"[9722542,9722553,9722597,9723599,9722576,9722620,9723535,9723519,9722480,9723602,9722541,9722585,9723604,9722965,9722957,9722968,9722971,9723408,9723006,9723523,9723589,9722582,9722601,9723503,9722986,9722558,9722613,9723348,9723463,9722523,9722495,9723515,9723425,9723447,9723509,9722981,9722506,9722520,9723591,9723480,9723537,9723401,9723530,9723526,9729557,9723359,9722482,9722493,9722466,9723512,9722490,9723412,9722536,9723496,9723457,9723409,9722617,9723445,9722543,9723470,9723478,9722530,9723465,9722486,9723464,9723475,9723505,9723002,9722573,9729558,9722515,9723453,9722985,9723000,9722560,9722592,9722568,9723507,9723499,9723541,9722598]",15+,81,,,,,,
03-22-2017_01:10:70,8.07,"[9715736,9715747,9715750,9715758,9715712,9715684,9715695,9715756,9715660,9715701,9715709,9715726,9715751,9715724,9715735,9715746,9715696,9715704,9715658,9715694,9715659,9715723,9715745,9715703,9715682,9715693,9715748,9715713,9715759,9715757,9715760,9715685,9715661,9715702,9715718,9715721,9715729,9715732,9715743,9715754,9715688,9715691,9715699,9715707,9715710,9715719,9715722,9715744,9715755,9715681,9715689,9715692,9715700,9715708,9715711,9715727,9715730,9715738,9715741,9715749,9715752,9715686,9715697,9715705,9715717,9715720,9715739,9715742,9715753,9715687,9715690,9715698,9715706,9715675,9715678,9715672,9715666,9715664,9715665,9715716,9715714]",15+,81,,,,,,
03-22-2017_01:20:61,0.05,[],0-7,0,,,,,,
03-22-2017_01:20:70,7.14,"[9708525,9708524,9708548,9708573,9708575,9708531,9708586,9708554,9708565,9708510,9708529,9708532,9708587,9708555,9708566,9708570,9708581,9708501,9708578,9708572,9708563,9708574,9708530,9708541,9708545,9708556,9708500,9708508,9708511,9708512,9708571,9708494,9708502,9708557,9708560,9708558,9708518,9708519,9708517,9708520,9708584,9708583,9708582,9708497,9708516,9708498,9708495,9708503,9708561,9708552,9708585,9708576,9708528,9708515,9708537,9708580,9708567,9708546,9708568,9708579,9708509,9708514,9708536,9708569,9708551,9708577,9708505,9708506,9708496,9708553,9708559,9708562,9708522,9708533]",15+,74,,,,,,
03-22-2017_01:30:74,7.48,"[9715609,9715634,9715645,9715650,9715504,9715557,9715638,9715649,9715507,9715532,9715585,9715604,9715499,9715521,9715527,9715529,9715496,9715513,9715495,9715503,9715514,9715583,9715508,9715511,9715580,9715519,9715601,9715515,9715602,9715613,9715625,9715540,9715573,9715600,9715525,9715547,9715572,9715493,9715501,9715509,9715512,9715599,9715607,9715618,9715621,9715492,9715544,9715566,9715522,9715489,9715577,9715623,9715494,9715490,9715498,9715517,9715630,9715640,9715491,9715497,9715553,9715538,9715574,9715516,9715534,9715578,9715636,9715526,9715551,9715546,9715579,9715597,9715627,9715606,9715615,9715506,9715530,9715541]",15+,78,,,,,,
03-22-2017_01:40:65,0.05,[],0-7,0,,,,,,
03-22-2017_01:40:72,7.6,"[9708146,9708234,9708206,9708135,9708157,9708239,9708154,9708138,9708141,9708152,9708166,9708177,9708180,9708188,9708191,9708186,9708197,9708216,9708172,9708139,9708142,9708153,9708136,9708158,9708162,9708173,9708184,9708214,9708148,9708151,9708236,9708137,9708140,9708159,9708161,9708169,9708183,9708194,9708147,9708150,9708224,9708167,9708170,9708178,9708181,9708189,9708192,9708200,9708222,9708145,9708156,9708134,9708160,9708168,9708171,9708179,9708182,9708209,9708212,9708176,9708187,9708190,9708198,9708220,9708231,9708163,9708174,9708185,9708196,9708149,9708226,9708143,9708164,9708175,9708199,9708207,9708229,9708144,9708227,9708155,9708202]",15+,81,,,,,,
03-22-2017_01:50:74,7.79,"[9708279,9708312,9708308,9708309,9708255,9708262,9708273,9708284,9708295,9708303,9708314,9708325,9708288,9708299,9708307,9708321,9708274,9708285,9708304,9708326,9708257,9708260,9708271,9708282,9708293,9708301,9708323,9708258,9708261,9708269,9708272,9708283,9708294,9708302,9708313,9708324,9708251,9708277,9708252,9708291,9708318,9708329,9708296,9708315,9708256,9708270,9708281,9708289,9708292,9708300,9708319,9708322,9708253,9708264,9708275,9708286,9708297,9708305,9708316,9708327,9708330,9708254,9708265,9708276,9708287,9708290,9708298,9708306,9708317,9708320,9708328,9708331,9708266,9708280,9708310,9708267,9708278,9708311,9708268,9708263,9708259]",15+,81,,,,,,
03-22-2017_02:00:63,5.04,"[9715906,9715905,9714359,9714360,9741691,9821718,9710825,9710826,9718366,9718362,9718365,9767595,9767599,9741446,9741448,9708492,9708493,9708486,9715643,9821743,9821744,9715642,9715644,9713228,9713226,9713227,9711009,9711010,9691476,9691475,9710889,9710888,9728079,9736349,9736351,9703578,9703577,9731906,9724479,9724481,9711093,9711094,9744280,9706051,9706049,9736549,9706052,9736550,9722332,9722329,9722326]",7-15,51,,,,,,
03-22-2017_02:00:74,7.62,"[9713257,9713260,9713271,9713279,9713294,9713302,9713258,9713261,9713269,9713272,9713231,9713233,9713244,9713280,9713288,9713291,9713299,9713307,9713255,9713266,9713277,9713234,9713245,9713281,9713289,9713300,9713308,9713235,9713246,9713282,9713293,9713301,9713256,9713267,9713270,9713278,9713239,9713286,9713297,9713305,9713236,9713247,9713283,9713253,9713264,9713275,9713250,9713229,9713232,9713243,9713287,9713290,9713298,9713306,9713254,9713265,9713276,9713237,9713240,9713284,9713295,9713303,9713248,9713251,9713259,9713262,9713273,9713230,9713238,9713241,9713285,9713296,9713304,9713249,9713252,9713263,9713274,9713242]",15+,78,,,,,,
